name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_18,21.83,19.33,72.02,243.462,5737.91,159.81,-48.84,10.0,True,49.94333333333333,125.04166666666667,"7.49, 22.48, 37.46, 52.44, 67.43","21.41, 117.71, 130.0, 124.05, 154.7","7.49, 22.48, 37.46, 52.44, 67.43","4.7, 4.7, 3.1, 0.58, 0.017"
WALLABY_J103538-484832_BS_19,22.05,19.23,80.54,248.292,5742.9,159.81,-48.84,10.0,True,50.56038022813688,114.03361216730039,"7.49, 22.48, 37.46, 52.44, 67.43","57.27, 111.85, 125.28, 112.42, 189.87","7.49, 22.48, 37.46, 52.44, 67.43","6.0, 3.7, 3.3, 0.67, 0.063"
WALLABY_J103538-484832_BS_20,21.89,19.41,71.14,248.785,5738.73,159.81,-48.84,10.0,True,57.61968210089841,130.0421216309606,"7.49, 22.48, 37.46, 52.44, 67.43","39.83, 116.95, 138.69, 118.85, 151.24","7.49, 22.48, 37.46, 52.44, 67.43","4.5, 3.9, 2.0, 1.5, 0.053"
WALLABY_J103538-484832_BS_21,21.84,19.24,70.35,244.12,5739.2,159.81,-48.84,10.0,True,55.96429467084639,139.74097178683385,"7.49, 22.48, 37.46, 52.44, 67.43","48.98, 111.92, 134.55, 119.23, 206.47","7.49, 22.48, 37.46, 52.44, 67.43","4.3, 3.2, 4.5, 1.3, 0.024"
WALLABY_J103538-484832_BS_22,21.93,19.29,70.93,246.663,5738.35,159.81,-48.84,10.0,True,50.608589341692785,114.8598119122257,"7.49, 22.48, 37.46, 52.44, 67.43","41.38, 120.65, 121.32, 113.96, 148.57","7.49, 22.48, 37.46, 52.44, 67.43","4.2, 3.8, 3.8, 0.61, 0.034"
WALLABY_J103538-484832_BS_23,22.08,19.28,82.83,248.729,5740.4,159.81,-48.84,10.0,True,51.42440677966101,109.62966101694916,"7.49, 22.48, 37.46, 52.44, 67.43","65.65, 110.72, 126.4, 108.41, 103.95","7.49, 22.48, 37.46, 52.44, 67.43","6.1, 4.9, 3.2, 0.84, 0.043"
WALLABY_J103538-484832_BS_24,22.04,19.23,74.25,243.798,5738.96,159.81,-48.84,10.0,True,48.06123076923077,110.52199999999999,"7.49, 22.48, 37.46, 52.44, 67.43","41.88, 111.36, 126.53, 103.91, 123.96","7.49, 22.48, 37.46, 52.44, 67.43","5.3, 4.7, 3.3, 0.05, 0.2"
WALLABY_J103538-484832_BS_25,22.0,19.39,72.51,250.029,5739.32,159.81,-48.84,10.0,True,49.24202247191011,120.55775280898877,"7.49, 22.48, 37.46, 52.44, 67.43","79.32, 115.25, 126.26, 119.01, 115.9","7.49, 22.48, 37.46, 52.44, 67.43","4.5, 5.0, 3.8, 0.24, 0.044"
WALLABY_J103538-484832_BS_26,21.88,19.24,75.05,251.155,5738.31,159.81,-48.84,10.0,True,58.780181268882174,142.1920241691843,"7.49, 22.48, 37.46, 52.44, 67.43","55.34, 113.78, 130.59, 124.36, 166.52","7.49, 22.48, 37.46, 52.44, 67.43","5.6, 4.0, 2.4, 1.7, 0.045"
WALLABY_J103538-484832_BS_27,21.98,19.24,77.37,243.185,5740.18,159.81,-48.84,10.0,True,56.07540824575586,134.92925626515765,"7.49, 22.48, 37.46, 52.44, 67.43","40.88, 118.59, 116.97, 130.77, 147.92","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 4.2, 2.5, 1.3, 0.063"
WALLABY_J103538-484832_BS_28,22.04,19.3,76.4,249.34,5739.42,159.81,-48.84,10.0,True,59.12599464763604,134.99661909009814,"7.49, 22.48, 37.46, 52.44, 67.43","52.78, 115.99, 132.98, 120.01, 153.61","7.49, 22.48, 37.46, 52.44, 67.43","5.2, 4.1, 1.8, 1.8, 0.0064"
WALLABY_J103538-484832_BS_29,21.92,19.42,65.76,247.009,5738.0,159.81,-48.84,10.0,True,48.16,124.49142857142857,"7.49, 22.48, 37.46, 52.44, 67.43","77.3, 126.64, 131.47, 121.7, 114.39","7.49, 22.48, 37.46, 52.44, 67.43","5.7, 4.9, 3.2, 0.12, 0.071"
WALLABY_J103538-484832_BS_30,21.76,19.22,63.61,247.544,5738.16,159.81,-48.84,10.0,True,50.37379310344827,127.18620689655172,"7.49, 22.48, 37.46, 52.44, 67.43","36.46, 117.61, 141.6, 124.88, 154.81","7.49, 22.48, 37.46, 52.44, 67.43","5.6, 4.8, 2.5, 0.76, 0.0073"
WALLABY_J103538-484832_BS_31,22.13,19.47,75.47,243.256,5741.06,159.81,-48.84,10.0,True,49.317519788918204,125.78815303430079,"7.49, 22.48, 37.46, 52.44, 67.43","29.9, 111.19, 124.49, 126.13, 131.74","7.49, 22.48, 37.46, 52.44, 67.43","3.4, 4.5, 4.0, 0.21, 0.05"
WALLABY_J103538-484832_BS_32,21.99,19.3,76.65,246.967,5738.85,159.81,-48.84,10.0,True,58.55836734693877,153.38224489795917,"7.49, 22.48, 37.46, 52.44, 67.43","35.96, 114.22, 144.22, 128.17, 189.94","7.49, 22.48, 37.46, 52.44, 67.43","5.4, 4.6, 1.1, 1.4, 0.42"
