name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_80,21.581491,19.365965,70.083694,244.179321,5735.249512,158.9099534,-48.8092912,10.0,True,50.677647058823524,130.75470588235294,"7.49, 22.48, 37.46, 52.44, 67.43","37.96, 110.99, 131.24, 130.69, 165.33","7.49, 22.48, 37.46, 52.44, 67.43","3.7, 5.0, 4.0, 0.6, 0.11"
WALLABY_J103538-484832_BS_81,21.538158,19.493191,80.750031,243.93158,5733.491211,158.9100742,-48.8090818,10.0,True,60.43660523763337,119.96793404461687,"7.49, 22.48, 37.46, 52.44, 67.43","14.52, 107.76, 126.0, 131.24, 110.11","7.49, 22.48, 37.46, 52.44, 67.43","1.1, 4.4, 2.0, 2.1, 0.038"
WALLABY_J103538-484832_BS_82,21.834969,19.32881,79.234192,245.172058,5739.764648,158.9093088,-48.8093386,10.0,True,51.118235294117646,119.25441176470588,"7.49, 22.48, 37.46, 52.44, 67.43","35.0, 109.56, 124.88, 118.71, 155.5","7.49, 22.48, 37.46, 52.44, 67.43","3.6, 3.9, 4.1, 0.7, 0.032"
WALLABY_J103538-484832_BS_83,21.837669,19.364019,77.982109,241.77005,5739.977539,158.909305,-48.8092798,10.0,True,49.42627218934911,138.5667455621302,"7.49, 22.48, 37.46, 52.44, 67.43","27.5, 108.14, 122.87, 142.52, 133.37","7.49, 22.48, 37.46, 52.44, 67.43","3.1, 4.4, 3.7, 0.32, 0.037"
WALLABY_J103538-484832_BS_84,21.887245,19.351379,81.748459,247.867706,5737.171387,158.9091785,-48.809298,10.0,True,49.22439790575916,128.14471204188482,"7.49, 22.48, 37.46, 52.44, 67.43","5.15, 107.48, 124.54, 129.13, 120.13","7.49, 22.48, 37.46, 52.44, 67.43","1.1, 4.6, 4.0, 0.18, 0.097"
WALLABY_J103538-484832_BS_85,21.855213,19.213135,78.864258,242.869598,5738.062988,158.9092475,-48.8095301,10.0,True,49.45695671325031,116.75862411404316,"7.49, 22.48, 37.46, 52.44, 67.43","23.19, 104.35, 125.44, 114.6, 96.19","7.49, 22.48, 37.46, 52.44, 67.43","2.5, 4.0, 5.0, 0.0054, 0.13"
WALLABY_J103538-484832_BS_86,21.920383,19.431322,79.129745,245.966553,5737.949219,158.9091016,-48.8091629,10.0,True,49.697183098591545,131.11,"7.49, 22.48, 37.46, 52.44, 67.43","18.22, 106.12, 126.47, 132.15, 88.78","7.49, 22.48, 37.46, 52.44, 67.43","0.44, 4.8, 3.9, 0.35, 0.22"
WALLABY_J103538-484832_BS_87,21.930277,19.344013,73.246086,243.367004,5740.975098,158.9090689,-48.8093078,10.0,True,49.45771167048055,85.15352402745995,"7.49, 22.48, 37.46, 52.44, 67.43","16.63, 104.27, 127.57, 74.61, 145.26","7.49, 22.48, 37.46, 52.44, 67.43","2.0, 4.5, 4.5, 0.13, 0.015"
WALLABY_J103538-484832_BS_88,22.100824,19.371305,73.080338,249.022003,5738.790039,158.9086398,-48.8092525,10.0,True,52.44,145.85,"7.49, 22.48, 37.46, 52.44, 67.43","20.8, 113.18, 127.94, 145.85, 118.28","7.49, 22.48, 37.46, 52.44, 67.43","3.4, 4.7, 3.0, 1.0, 0.37"
WALLABY_J103538-484832_BS_89,21.743063,19.328424,76.677544,246.772858,5738.058105,158.9095413,-48.8093445,10.0,True,50.658237885462555,91.39246696035241,"7.49, 22.48, 37.46, 52.44, 67.43","54.66, 110.42, 126.67, 86.63, 122.07","7.49, 22.48, 37.46, 52.44, 67.43","2.5, 3.6, 3.0, 0.73, 0.17"
