name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_0,21.87,19.31,71.58,250.641,5739.2,158.9092185,-48.8093679,10.0,True,52.44,139.36,"7.49, 22.48, 37.46, 52.44, 67.43","27.74, 117.97, 120.26, 139.36, 179.83","7.49, 22.48, 37.46, 52.44, 67.43","6.2, 4.9, 2.4, 1.0, 0.069"
WALLABY_J103538-484832_BS_1,22.07,19.37,77.2,241.9,5740.72,158.9087177,-48.8092565,10.0,True,50.112027027027025,114.67722972972973,"7.49, 22.48, 37.46, 52.44, 67.43","41.9, 113.72, 127.76, 112.27, 154.93","7.49, 22.48, 37.46, 52.44, 67.43","4.3, 4.4, 3.5, 0.54, 0.034"
WALLABY_J103538-484832_BS_2,21.93,19.37,77.28,247.213,5739.11,158.9090719,-48.8092645,10.0,True,51.2876923076923,127.11923076923075,"7.49, 22.48, 37.46, 52.44, 67.43","43.63, 121.99, 116.43, 128.01, 163.76","7.49, 22.48, 37.46, 52.44, 67.43","4.1, 4.7, 3.4, 0.8, 0.031"
WALLABY_J103538-484832_BS_3,22.04,19.16,74.97,244.868,5741.77,158.9087752,-48.809608,10.0,True,49.64253012048193,174.57753012048195,"7.49, 22.48, 37.46, 52.44, 67.43","101.31, 116.41, 121.22, 186.83, 115.8","7.49, 22.48, 37.46, 52.44, 67.43","4.6, 5.8, 3.7, 0.38, 0.16"
WALLABY_J103538-484832_BS_4,22.06,19.25,77.55,245.453,5740.4,158.9087325,-48.8094569,10.0,True,49.219267335368514,130.85893589184474,"7.49, 22.48, 37.46, 52.44, 67.43","37.68, 104.79, 125.78, 132.25, 181.21","7.49, 22.48, 37.46, 52.44, 67.43","3.9, 4.1, 4.6, 0.014, 0.07"
