CheckPoint,RunTime
Initial Fit,70.19731998443604
Bootstrap Loop,2099.257916212082
DCP Resample+SoFiA+Local Prep,0.0
"DCP Local Prep (native, overlaps above)",0.0
DCP Dispatch,2099.0789959430695
Total,2179.053760766983
